soru,cevap
"Spor yaparken diyetisyene gitmeli miyim?","Evet, sporcu beslenmesi konusunda size özel bir plan yapılabilir."
"Diyetisyene gitmeden de diyet yapabilir miyim?","Elbette, ancak yanlış beslenme alışkanlıkları oluşabilir; bu yüzden uzman desteği önerilir."
"Diyetisyenler hangi belgelere sahip olur?","Diyetisyenler, üniversitelerin Beslenme ve Diyetetik bölümlerinden mezun olup lisans diplomasına sahiptir."
"Diyetisyen bana hazır liste mi verir?","Hayır, genellikle size özel bir liste hazırlanır, ihtiyaç ve yaşam tarzınıza göre şekillendirilir."
"Her hafta mı gitmem gerekir?","İhtiyaca göre değişir ama genellikle haftalık ya da iki haftada bir takip yapılır."
"Diyetisyene gitmeden önce ne hazırlamalıyım?","Günlük beslenme alışkanlıklarınızı not almanız ve varsa sağlık raporlarınızı götürmeniz faydalı olur."
"Kilo vermek istiyorum ama aç kalmak istemiyorum","diyetisyen buna çözüm bulur mu?,""Evet, dengeli ve tok tutan bir planla aç kalmadan kilo verebilirsiniz."
"Emziren bir anneyim","diyetisyene gidebilir miyim?,""Evet, emzirme dönemine uygun, süt artırıcı besinleri içeren bir plan hazırlanabilir."
"Vegan besleniyorum","buna uygun diyet yapılabilir mi?,""Elbette, vegan beslenmeye uygun şekilde dengeli bir diyet oluşturulabilir."
"Diyetisyen görüşmesinden sonra kaç günde etki görmeye başlarım?","Kişiye göre değişmekle birlikte 1-2 hafta içinde olumlu etkiler hissedilmeye başlanabilir."
"Fizik tedavi nedir?","Fizik tedavi; kas, iskelet, sinir sistemi hastalıklarının tedavisinde kullanılan egzersiz ve fiziksel ajanlarla yapılan bir uygulamadır."
"Bel fıtığı için fizik tedavi işe yarar mı?","Evet, bel fıtığında fizik tedavi ağrının azaltılması ve hareket kabiliyetinin artırılmasında etkilidir."
"Fizik tedavi kaç seans sürer?","Tedavi süresi kişiye ve rahatsızlığa göre değişmekle birlikte genellikle 10-20 seans arasıdır."
"Fizik tedavi ağrılı bir işlem midir?","Hayır, genellikle ağrısızdır; ancak bazı durumlarda hafif bir rahatsızlık hissedilebilir."
"Fizik tedaviye yönlendirme nasıl yapılır?","Bir doktor muayenesi sonrası fizik tedavi ihtiyacı görülürse yönlendirme yapılır."
"Evde fizik tedavi yapılabilir mi?","Evet, bazı durumlarda egzersiz programları evde de uygulanabilir."
"Fizik tedavi hangi hastalıklarda kullanılır?","Bel-boyun fıtığı, kas zayıflıkları, felç sonrası rehabilitasyon gibi birçok durumda kullanılır."
"Fizik tedavi sonrası nelere dikkat etmeliyim?","Bol su içmek, verilen egzersizleri düzenli yapmak ve ağır aktivitelerden kaçınmak önemlidir."
"Fizik tedavi cihazları nelerdir?","Ultrason, TENS, sıcak-soğuk uygulama cihazları ve egzersiz ekipmanları yaygındır."
"Her yaşta fizik tedavi uygulanabilir mi?","Evet, çocuklardan yaşlılara kadar her yaş grubuna özel fizik tedavi programları oluşturulabilir."
"Fizik tedavi ücretli mi?","Devlet hastanelerinde SGK kapsamında ücretsiz olabilir, özel merkezlerde ücretlidir."
"Fizik tedavi felçte işe yarar mı?","Evet, felç sonrası kas gücü ve hareket kabiliyetini artırmak için kullanılır."
"Fizik tedavide kullanılan elektrik akımı zararlı mı?","Hayır, düşük dozlarda kullanılır ve güvenlidir."
"Spor sakatlıklarında fizik tedavi gerekir mi?","Evet, iyileşmeyi hızlandırmak ve tekrar sakatlanmayı önlemek için önemlidir."
"Fizik tedavi sonrası egzersiz yapmalı mıyım?","Evet, verilen egzersizleri düzenli yapmak tedavinin etkisini artırır."
"Fizik tedavi süresince çalışabilir miyim?","Hastalığınızın durumuna göre doktorunuzun önerisi doğrultusunda çalışabilirsiniz."
"Fizik tedavi sonrası ağrılar artabilir mi?","Bazı durumlarda kısa süreli ağrı artışı olabilir, bu normal bir durumdur."
"Fizik tedavi ne zaman etkisini gösterir?","Genellikle birkaç seans sonunda iyileşme belirtileri görülmeye başlanır."
"Fizik tedaviyle ameliyat önlenebilir mi?","Bazı durumlarda evet tedaviyle ameliyat ihtiyacı ortadan kalkabilir."
"Fizik tedavi sırasında ilaç kullanmalı mıyım?","Doktorunuz önerirse fizik tedavi ile birlikte ilaç tedavisi de uygulanabilir."
"Üroloji nedir?","Üroloji, idrar yolları ve erkek üreme sistemi hastalıklarını inceleyen tıp dalıdır."
"Üroloji bölümünde hangi hastalıklar tedavi edilir?","Böbrek taşı, idrar yolu enfeksiyonu, prostat hastalıkları, mesane sorunları ve erkek kısırlığı gibi hastalıklar tedavi edilir."
"Ürolojiye ne zaman başvurmalıyım?","İdrar yaparken yanma, sık idrara çıkma, idrarda kan görülmesi gibi durumlarda başvurulmalıdır."
"İdrar yolu enfeksiyonu için hangi doktora gidilir?","Üroloji uzmanına gidilmelidir."
"Böbrek taşları nasıl tedavi edilir?","Taşın boyutuna göre ilaç tedavisi, ses dalgasıyla kırma (ESWL) veya cerrahi yöntemler uygulanabilir."
"Prostat büyümesi hangi yaşlarda görülür?","Genellikle 50 yaş üzeri erkeklerde görülür."
"Prostat kanserinin belirtileri nelerdir?","Sık idrara çıkma, gece idrara kalkma, zayıf idrar akışı ve idrarda kan belirtiler arasındadır."
"Üroloji muayenesi nasıl yapılır?","Doktor hastanın şikayetlerini dinler, fizik muayene yapar ve gerekirse idrar tahlili, ultrason veya kan testleri ister."
"İdrar kaçırma tedavi edilebilir mi?","Evet, nedenine bağlı olarak ilaç tedavisi, egzersizler veya cerrahi uygulanabilir."
"Üroloji bölümüne kadınlar da başvurabilir mi?","Evet, idrar yolları hastalıkları olan kadınlar da üroloji uzmanına başvurabilir."
"Mesane tümörü nasıl anlaşılır?","İdrarda kan, sık idrara çıkma, ağrılı idrara çıkma gibi belirtilerle kendini gösterebilir."
"Üretrit nedir?","Üretrit, idrar kanalının iltihaplanmasıdır ve genellikle enfeksiyon kaynaklıdır."
"Üroloji bölümünde hangi testler yapılır?","İdrar tahlili, kan testleri, ultrason, sistoskopi ve ürodinami gibi testler yapılabilir."
"Kadınlarda idrar yolu enfeksiyonu neden sık görülür?","Kadınlarda üretra daha kısa olduğu için bakterilerin mesaneye ulaşması daha kolaydır."
"İdrarda kan görmek tehlikeli midir?","Evet, altta yatan ciddi bir hastalığın belirtisi olabileceği için mutlaka doktora başvurulmalıdır."
"Ürolojiye gitmeden önce ne yapılmalı?","Özellikle sabah ilk idrar örneği gerekebilir, ayrıca şikayetler detaylı not alınmalıdır."
"Erkek kısırlığı üroloji kapsamında mıdır?","Evet, erkek üreme sağlığı sorunları da ürolojinin konusudur."
"Üroloji uzmanı sünnet yapar mı?","Evet, üroloji uzmanları sünnet işlemini gerçekleştirebilir."
"Varikosel nedir?","Testis çevresindeki toplardamarların genişlemesi durumudur, erkek kısırlığına neden olabilir."
"Mesane sarkması nedir?","Kadınlarda mesane duvarının vajinaya doğru sarkmasıdır ve idrar kaçırmaya neden olabilir."
"Çocuklarda en sık görülen hastalıklar nelerdir?","Soğuk algınlığı, grip, bronşit, bademcik iltihabı ve kulak enfeksiyonları en sık rastlanan hastalıklardandır."
"Çocuklarda ateş kaç derece olunca tehlikelidir?","38.5°C üzeri ateş yüksek sayılır ve doktor kontrolü önerilir."
"Çocuklarda burun akıntısı nasıl geçer?","Bol sıvı tüketimi, burun spreyi ve ortam nemlendirici kullanımı faydalı olabilir."
"Çocuklara antibiyotik ne zaman verilir?","Sadece doktor gerekli gördüğünde ve reçeteyle verilmelidir."
"Çocuklarda öksürük ne zaman ciddiye alınmalıdır?","3 günden uzun sürüyorsa, ateş veya solunum zorluğu eşlik ediyorsa doktora başvurulmalıdır."
"Bebeklerde gaz sancısı ne kadar sürer?","Genellikle 3-4 ay içinde azalır."
"Çocuklarda ishale ne iyi gelir?","Bol sıvı alımı, probiyotik yoğurt ve lifli besinler ishali hafifletebilir."
"Çocuğum sürekli hasta oluyor, ne yapmalıyım?","Bağışıklık sistemi desteklenmeli, hijyen kurallarına dikkat edilmeli ve gerekirse çocuk doktoruna danışılmalıdır."
"Alerjik çocuklar hangi belirtileri gösterir?","Sık hapşırma, burun akıntısı, ciltte döküntü ve nefes darlığı olabilir."
"Çocukluk aşıları neden önemlidir?","Bulaşıcı ve tehlikeli hastalıklardan korunmak için zorunludur."
"Çocuklar kaç yaşında tuvalet eğitimi almalı?","Genellikle 2-3 yaş aralığında başlanabilir."
"Bebeklerde emekleme ne zaman başlar?","6-10 ay arasında emekleme görülmeye başlar."
"Çocuklarda konuşma gecikmesi normal mi?","2 yaşına kadar anlamlı kelimeler söylemiyorsa değerlendirme gerekebilir."
"Çocuklar neden gece altını ıslatır?","Fizyolojik olabileceği gibi psikolojik nedenlere de bağlı olabilir, 5 yaş sonrası devam ediyorsa doktora danışılmalı."
"Çocuklarda iştahsızlık nasıl giderilir?","Yemek saatleri düzenlenmeli, sağlıklı alternatifler sunulmalı ve baskı yapılmamalıdır."
"Çocuklar günde kaç saat uyumalıdır?","1-3 yaş arası 12-14 saat, 4-6 yaş 11-13 saat, 7 yaş üstü 9-11 saat uyumalıdır."
"Erken çocukluk dönemi nedir?","0-6 yaş arasındaki gelişim dönemidir, fiziksel ve zihinsel temellerin atıldığı süreçtir."
"Çocuklar ne zaman yürümeye başlar?","Genellikle 12-18 ay arasında yürürler."
"Çocuk gelişimi neden takip edilmeli?","Olası gelişim gerilikleri erken tespit edilip müdahale edilebilir."
"Çocuğum geç konuşuyor, ne yapmalıyım?","Bir çocuk gelişim uzmanı veya dil terapistine danışmak faydalı olur."
"Okul öncesi eğitim neden önemlidir?","Çocuğun sosyal, duygusal ve zihinsel gelişimini destekler."
"Çocuklar neden ağlar?","Açlık, yorgunluk, ilgi isteği, fiziksel rahatsızlık veya duygusal stres nedeniyle olabilir."
"Çocuklarda dikkat eksikliği belirtileri nelerdir?","Odaklanma güçlüğü, unutkanlık, hareketlilik ve sabırsızlık en sık belirtilerdir."
"Çocuklar neden parmak emer?","Rahatlama, sıkılma veya güvensizlik hissiyle olabilir, genellikle 4 yaşa kadar normaldir."
"Bebeklerde diş çıkarma belirtileri nelerdir?","Salya artışı, huzursuzluk, ateş ve diş eti kaşıma davranışı görülebilir."
"Çocuğum geç büyüyor, ne yapmalıyım?","Bir çocuk endokrinoloji uzmanına danışarak büyüme eğrileri değerlendirilmelidir."
"Çocuklarda dikkat geliştirmek için ne yapılabilir?","Düzenli uyku, sağlıklı beslenme, dikkat oyunları ve ekran süresinin azaltılması önerilir."
"Çocuklar için ekran süresi ne kadar olmalı?","2 yaş altı hiç olmamalı, 2-6 yaş arası günde en fazla 1 saat önerilir."
"Çocukta özgüven nasıl geliştirilir?","Destekleyici dil kullanmak, karar verme hakkı tanımak ve başarılarını takdir etmek önemlidir."
"Çocuğum arkadaş edinmekte zorlanıyor, ne yapabilirim?","Sosyal ortamlarda bulunmasına fırsat verilmeli ve gerekirse bir uzmandan destek alınmalıdır."
"Hastanede ilk olarak nereye başvurmalıyım?","Poliklinik kayıt birimine başvurarak randevu almanız gerekir."
"Randevu almadan hastaneye gidebilir miyim?","Acil servis hariç genellikle randevu alınması gerekir."
"Poliklinik randevusunu nasıl alabilirim?","MHRS üzerinden internetten veya 182 çağrı merkezinden alınabilir."
"Hangi belgelerle hastaneye gitmeliyim?","Kimlik kartınızı mutlaka yanınızda bulundurmalısınız."
"Hastanede acil bölümüne nasıl başvurulur?","Acil servise doğrudan başvurabilirsiniz, randevu gerekmez."
"Muayene olduktan sonra ilaç nasıl alınır?","Doktor reçete yazarsa eczaneden temin edebilirsiniz."
"Kan tahlili nerede yaptırılır?","Laboratuvar biriminde, doktor istemiyle yapılır."
"Rapor almak için ne yapmalıyım?","İlgili doktora muayene olduktan sonra rapor talebinizi iletmelisiniz."
"Refakatçi nasıl belirlenir?","Doktor onayı ve hastane kurallarına göre refakatçi belirlenebilir."
"Yatış işlemleri nasıl yapılır?","Doktorun kararı sonrası hasta yatış biriminde işlemler tamamlanır."
"Hastanede ziyaret saatleri nedir?","Genellikle 12.00-14.00 ve 18.00-20.00 saatleri arasındadır."
"Hasta hakları birimi nedir?","Hastaların şikayet ve önerilerini değerlendiren birimdir."
"Doktorumu nasıl değiştirebilirim?","Randevu sisteminden farklı bir doktora yeni randevu alabilirsiniz."
"Ameliyat için nasıl hazırlanmalıyım?","Doktorunuz size gerekli talimatları verecektir, genellikle aç kalmanız istenir."
"Ameliyat sonrası bakım nasıl yapılır?","Servis hemşireleri ve doktorlar tarafından takip edilir."
"Taburcu işlemi nasıl olur?","Doktor onayıyla epikriz raporu hazırlanır ve hasta bilgilendirilir."
"Hastane fatura ve ücret işlemleri nerede yapılır?","Hasta veznesinden veya danışmadan bilgi alınabilir."
"Özel sigorta hastanede geçerli mi?","Hastaneye ve sigortaya göre değişir, bilgi alınmalıdır."
"Hastanede kayıp eşya nereye bildirilir?","Danışma ya da güvenlik birimine bildirilmelidir."
"Laboratuvar sonuçlarımı nereden öğrenebilirim?","Hasta portalı veya ilgili laboratuvar biriminden temin edilebilir."
"Röntgen ve görüntüleme işlemleri nasıl yapılır?","Doktor istemiyle radyoloji birimine gidilir."
"Doktor raporu ne zaman hazır olur?","Yoğunluğa göre değişir, genellikle birkaç gün içinde teslim edilir."
"Yoğun bakım ziyareti yapılabilir mi?","Genellikle kısıtlıdır, sadece belirli saatlerde ve kişilerle yapılır."
"Engelli hasta için özel hizmet var mı?","Asansör, rampa, refakatçi gibi hizmetler mevcuttur."
"Hastane içinde yönlendirme tabelaları yeterli mi?","Genellikle her katta ve koridorda yönlendirme tabelaları bulunur."
"Hastane otoparkı var mı?","Çoğu hastanede hasta ve ziyaretçi için otopark bulunur."
"Randevuma geç kalırsam ne olur?","Doktor kabul ederse muayene edilir, aksi halde yeni randevu alınır."
"Hastane yemek hizmeti nasıldır?","Yatan hastalara üç öğün yemek sunulur, menüler sağlık durumuna göre düzenlenir."
"Hastane danışmasına hangi sorular sorulabilir?","Bölüm yerleri, doktor isimleri, randevu bilgileri gibi konular sorulabilir."
"İlaç alerjim varsa hastaneye bildirmeli miyim?","Evet, mutlaka doktora ve hemşireye bildirilmelidir."
"Ortopedi hangi hastalıklarla ilgilenir?","Kemik, kas, eklem ve iskelet sistemi hastalıklarıyla ilgilenir."
"Kırık şüphesinde ne yapmalıyım?","Hemen en yakın ortopedi uzmanına veya acil servise başvurmalısınız."
"Burkulma ile kırık arasındaki fark nedir?","Kırıkta kemik bütünlüğü bozulur, burkulmada bağ dokuları zarar görür."
